Entrez_Gene_Id	C3L-00081-01	C3L-00415-03	C3L-00445-01	C3L-00568-01	C3L-00603-02	C3L-00904-01	C3L-00923-03	C3L-00927-02	C3L-00965-03	C3L-00993-01	C3L-01000-04	C3L-01285-02	C3L-01455-01	C3L-01606-01	C3L-01663-02	C3L-01838-03	C3L-01884-02	C3L-02127-01	C3L-02130-01	C3L-02163-01	C3L-02164-03	C3L-02168-04	C3L-02170-03	C3L-02349-01	C3L-02358-03	C3L-02546-03	C3L-02552-02	C3L-02619-01	C3L-02625-04	C3L-02627-05	C3L-02629-01	C3L-02646-05	C3L-02648-02	C3L-02649-04	C3L-02650-05	C3L-02660-05	C3L-02665-01	C3L-02669-02	C3L-02891-03	C3L-02951-02	C3L-02963-03	C3L-02964-01	C3L-02968-02	C3L-02969-02	C3L-03272-02	C3L-03678-02	C3L-03961-02	C3L-03961-05	C3L-03962-03	C3L-03963-04	C3L-03965-02	C3L-04013-05	C3L-04014-02	C3L-04071-01	C3L-04391-02	C3N-00211-01	C3N-00221-06	C3N-00247-02	C3N-00497-01	C3N-00555-02	C3N-01017-04	C3N-01020-01	C3N-01025-04	C3N-01028-02	C3N-01194-04	C3N-01411-04	C3N-01846-01	C3N-01892-09	C3N-01893-02	C3N-02252-74	C3N-02282-05	C3N-02283-02	C3N-02284-01	C3N-02285-03	C3N-02288-03	C3N-02289-06	C3N-02300-02	C3N-02339-02	C3N-02374-02	C3N-02375-01	C3N-02425-02	C3N-02426-01	C3N-02434-01	C3N-02435-01	C3N-02494-01	C3N-02523-02	C3N-02575-02	C3N-02675-04	C3N-03051-02	C3N-03072-01	C3N-03076-02	C3N-03092-01	C3N-03093-03	C3N-03204-01	C3N-03424-03	C3N-03425-05	C3N-03441-01	C3N-03486-03	C3N-03662-01	C3N-03848-02	C3N-03851-04	C3N-03875-02	C3N-03877-02	C3N-03880-01	C3N-03882-01	C3N-03886-03	C3N-04124-02	C3N-04127-01	C3N-04155-01	C3N-04162-03
642517	1	0	-1	0	0	-1	0	1	-1	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	-1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	-1	0	1	1	1	0	0	-1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	0	1	1	-1	0	0	0	0
642521	-1	0	-1	0	0	-1	0	1	-1	0	-1	0	0	-1	0	0	-1	1	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	1	0	1	0	1	0	0	1	0	-1	0	1	1	1	0	0	-1	0	0	1	0	1	0	0	1	0	0	0	-1	0	1	0	0	2	0	0	1	2	-1	0	0	0	0
642531	1	0	-1	0	-1	-1	0	0	-1	1	-1	0	0	-1	-1	0	-1	1	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	1	-1	0	0	0	0	1	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	-1	-1	-1	0	0	0	1	0	1	-1	0	-1	-1	1	0	-1	0	1	1	0	0	0	-1	-1	-1	1	0	0	0	0	1	0	-1	0	0	0	1	0	0	1	0	0	1	1	-1	0	0	0	1
642538	-1	0	-1	0	0	-1	0	1	-1	0	-1	0	0	-1	0	0	-1	1	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	1	0	1	0	1	0	0	1	0	-1	0	1	1	1	0	0	-1	0	0	1	0	1	0	0	1	0	0	0	-1	0	1	0	0	2	0	0	1	2	-1	0	0	0	0
642559	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	-1	0	1	1	1	1	1	0	0	1	0	0	0	2	1	0	1	1	1	1	0	0	1	0	1	1
642569	1	0	-1	0	0	0	0	1	0	0	0	1	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	1	0	0	0	0	0	0	1	-1	0	0	0	1	1	0	1	0	1	-1	0	1	0	0	-1	1	1	1	0	1	0	-1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	-1	1	0	-1	0	0	1	0
642574	2	0	0	0	0	0	0	2	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	2	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	-1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	-1	0	1	0	1	1	0	1	0	0	1	2	1	1	0	1	1	0	0	2	0	2	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1
642580	1	0	-1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	-1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	-1	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1
642587	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	2	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	-1	1	0	0	0	0	1	1
642592	-1	0	-1	0	0	-1	0	1	-1	0	-1	0	0	-1	0	0	-1	1	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	1	0	1	0	1	0	0	1	0	-1	0	1	1	1	0	0	-1	0	0	1	0	1	0	0	1	0	0	0	-1	0	1	0	0	2	0	0	1	2	-1	0	0	0	0
642597	1	0	-1	0	0	0	0	1	-1	0	0	1	0	0	-1	0	0	0	0	1	0	1	0	-1	2	0	0	0	1	1	0	1	-1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	-1	0	1	1	0	1	-1	1	1	0	0	0	0	0	-1	-1	0	1	1	1	1	2	0	1	-1	0	1	0	0	0	1	1	1	0	2	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	1	2
6426	1	0	0	0	-1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	-1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	-1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1
642612	1	0	-1	0	0	0	0	1	0	0	0	1	0	0	0	0	-1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	1	0	0	0	0	0	0	1	-1	0	0	0	1	1	0	1	0	1	-1	0	1	0	0	-1	1	1	1	0	1	0	-1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	-1	1	0	-1	0	0	1	0
642614	2	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	2	-1	0	0	0	1	0	0	0	1	0	0	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	1	1	0	0	0	0	1	0	0	0	0	1	-1	0	0	0	1	0	0	1	-1	1	0	0	1	0	0	0	1	1	1	0	0	-1	-2	-1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	-1	-1	0	-1	1
